Species,State,survival,size2009,size2016,sprout2016,harvest
Acacia chundra,Sprout,0,,,0,0
Acacia chundra,Sprout,0,,,0,0
Acacia chundra,Sprout,0,,,0,0
Acacia chundra,Sprout,0,,,0,0
Acacia chundra,Sprout,0,,,0,0
Acacia chundra,Sprout,0,,,0,0
Acacia chundra,Sprout,0,,,0,0
Acacia chundra,Sprout,0,,,0,0
Acacia chundra,Sprout,0,,,0,0
Acacia chundra,Sprout,0,,,0,0
Acacia chundra,Tree,1,2.707006369,4.777070064,0,0
Acacia chundra,Tree,1,3.184713376,6.369426752,0,0
Acacia chundra,Tree,1,3.184713376,3.184713376,0,0
Acacia chundra,Tree,1,2.770700637,5.095541401,0,0
Acacia chundra,Tree,0,2.707006369,,0,0
Acacia chundra,Tree,1,2.866242038,7.006369427,0,0
Acacia chundra,Tree,1,3.503184713,8.598726115,0,0
Acacia chundra,Tree,0,3.98089172,,0,0
Acacia chundra,Tree,1,4.140127389,4.777070064,0,0
Acacia chundra,Tree,1,7.802547771,4.140127389,0,0
Acacia chundra,Tree,1,11.29563557,11.25966212,0,0
Acacia chundra,Tree,1,7.802547771,7.006369427,0,0
Acacia chundra,Tree,1,8.676517659,10.00020285,0,0
Acacia chundra,Tree,1,6.369426752,8.917197452,0,0
Acacia chundra,Tree,1,0.636942675,,1,0
Acacia chundra,Tree,1,1.27388535,,1,0
Acacia chundra,Tree,1,5.414012739,7.006369427,0,1
Acacia chundra,Tree,1,6.369426752,5.732484076,0,0
Acacia chundra,Tree,1,11.12828357,11.71437845,0,0
Acacia chundra,Tree,1,11.41620913,13.39473939,0,0
Acacia chundra,Tree,1,7.165605096,10.50955414,0,0
Acacia chundra,Tree,1,7.234278146,9.154319968,0,0
Acacia chundra,Tree,1,5.573248408,7.765086204,0,0
Acacia chundra,Tree,1,6.369426752,9.23566879,0,0
Acacia chundra,Tree,1,7.038865003,,1,0
Acacia chundra,Tree,1,9.076433121,11.46496815,0,0
Acacia chundra,Tree,1,8.757961783,12.42038217,0,0
Acacia chundra,Tree,1,9.394904459,,1,0
Acacia chundra,Tree,1,6.369426752,5.095541401,0,1
Acacia chundra,Tree,1,10.02679076,11.00109901,0,0
Acacia chundra,Tree,1,8.625224564,14.71185919,0,0
Acacia chundra,Tree,1,4.777070064,,1,0
Acacia chundra,Tree,1,4.458598726,8.598726115,0,0
Acacia chundra,Tree,1,7.006369427,6.369426752,0,0
Acacia chundra,Tree,1,5.741323688,,1,0
Acacia chundra,Tree,1,3.98089172,4.777070064,0,0
Acacia chundra,Tree,1,9.543518513,,0,0
Acacia chundra,Tree,1,7.643312102,6.687898089,0,0
Acacia chundra,Tree,1,10.1910828,10.50955414,0,1
Acacia chundra,Tree,1,9.554140127,10.87009437,0,0
Acacia chundra,Tree,1,10.50955414,11.14649682,0,0
Acacia chundra,Tree,1,11.81781867,13.84526441,0,0
Acacia chundra,Tree,0,4.617834395,,0,0
Acacia chundra,Tree,1,12.12702724,11.45611831,0,0
Acacia chundra,Tree,0,7.006369427,,0,0
Acacia chundra,Tree,1,5.414012739,7.006369427,0,0
Acacia chundra,Tree,1,17.09689877,17.32964059,0,1
Acacia chundra,Tree,1,14.56288327,19.80676663,0,1
Acacia chundra,Tree,1,13.30356597,13.78285669,0,0
Acacia chundra,Tree,1,11.14649682,12.42038217,0,0
Acacia chundra,Tree,1,23.64421808,18.78980892,0,1
Acacia chundra,Tree,1,7.324840764,7.643312102,0,1
Acacia chundra,Tree,1,3.184713376,4.140127389,0,1
Acacia chundra,Tree,1,6.050955414,6.687898089,0,0
Acacia chundra,Tree,1,13.30356597,13.78285669,0,0
Acacia chundra,Tree,1,26.43312102,28.98089172,0,0
Acacia chundra,Tree,1,27.80931401,27.96207362,0,0
Acacia chundra,Tree,0,8.280254777,,0,0
Acacia chundra,Tree,1,4.458598726,8.917197452,0,0
Acacia chundra,Tree,0,4.777070064,,0,0
Acacia chundra,Tree,1,1.910828025,3.184713376,0,0
Acacia chundra,Tree,0,2.229299363,,0,0
Acacia chundra,Tree,1,1.910828025,5.732484076,0,0
Chloroxylon swietenia,Sprout,1,,0.441494904,0,0
Chloroxylon swietenia,Sprout,1,,,0,0
Chloroxylon swietenia,Sprout,1,,0.441494904,0,0
Chloroxylon swietenia,Sprout,1,,0.619716561,0,0
Chloroxylon swietenia,Sprout,1,,0.662242675,0,0
Chloroxylon swietenia,Sprout,1,,,1,0
Chloroxylon swietenia,Sprout,1,,,1,0
Chloroxylon swietenia,Sprout,1,,,1,0
Chloroxylon swietenia,Sprout,1,,,1,0
Chloroxylon swietenia,Sprout,1,,,1,0
Chloroxylon swietenia,Sprout,1,,,1,0
Chloroxylon swietenia,Sprout,1,,,1,0
Chloroxylon swietenia,Sprout,1,,,1,0
